福	祝福,しゅくふく, blessing
面倒,めんどう, trouble;  bother;
倒す,たおす, to throw down;  to bring down;

寝   寝る,ねる, to sleep (lying down);  to go to bed;
寝室,しんしつ, bedroom
寝かせる,ねかせる, to put to bed;  to lay down lengthwise;

宅   自宅,じたく, one's home;  one's house
帰宅,きたく, returning home
住宅街,じゅうたくがい, residential area

絵   絵,え, picture;  drawing;
絵画,かいが, painting;  picture
絵本,えほん, picture book

破   破壊,はかい, destruction;  disruption;
破る,やぶる, to tear;  to rip;
突破,とっぱ, breaking through;  breakthrough;

庭   庭,にわ, garden;  yard;
家庭,かてい, home;  family;
中庭,なかにわ, courtyard;  quadrangle;

婦   夫婦,ふうふ, married couple;  husband and wife;
婦人,ふじん, woman;  lady;
主婦,しゅふ, housewife;  mistress (of the house);

余   余裕,よゆう, surplus;  margin;
余計,よけい, extra;  more;
余地,よち, place;  room;

訪   訪れる,おとずれる, to visit;  to call on;
訪ねる,たずねる, to visit;  to call on;
訪問,ほうもん, call;  visit

冷   冷たい,つめたい, cold (to the touch);  chilly;
冷静,れいせい, calmness;  composure;
冷める,さめる, to cool down;  to get cold;

暮   暮らす,くらす, to live;  to get along;
暮らし,くらし, (way of) life;  living;
日が暮れる,ひがくれる, to set (sun);  to become dark

腹   腹,はら, abdomen;  belly;
お腹,おなか, belly;  abdomen;
腹が立つ,はらがたつ, to get angry;  to take offense;

危   危険,きけん, danger;  peril;
危ない,あぶない, dangerous;  risky;
危機,きき, crisis;  critical situation;

許   許す,ゆるす, to permit;  to allow;
許可,きょか, permission;  approval;
許し,ゆるし, pardon;  forgiveness;

似   似る,にる, to resemble;  to look like;
似合う,にあう, to suit;  to match;
真似,まね, imitating;  copying;

険   危険,きけん, danger;  peril;
冒険,ぼうけん, adventure;  venture;
険しい,けわしい, precipitous;  rugged;

財   財布,さいふ, purse;  handbag;
財産,ざいさん, property;  fortune;
財宝,ざいほう, treasure

遊   遊ぶ,あそぶ, to play (games, sports);  to enjoy oneself;
遊び,あそび, playing;  play (margin between on and off, gap before pressing button or lever has an effect)
遊びに来る,あそびにくる, to come and stay;  to drop in;

雑   複雑,ふくざつ, complex;  complicated;
雑誌,ざっし, journal;  magazine;
雑談,ざつだん, chatting;  idle talk

恐   恐ろしい,おそろしい, terrible;  dreadful;
恐怖,きょうふ, fear;  dread;
恐れる,おそれる, to fear;  to be afraid of

値   価値,かち, value;  worth;
値段,ねだん, price;  cost
値,あたい, price;  cost;

暗   暗い,くらい, dark;  gloomy;
暗闇,くらやみ, darkness;  the dark
薄暗い,うすぐらい, dim;  gloomy

